-3,-11,-4,-12,-3,-12,-4,-12,-1,-12,-1,-13,-1,-13,-1,-13,1,-13,2,-11,2,-11,2,-12,2,-12,2,-12,2,-12,2,-12,3,-12,3,-12,3,-12,4,-12,3,-12,3,-12,4,-12,4,-12,5,-13,6,-13,5,-13,6,-13,7,-13,7,-12,8,-13,7,-11,6,-11,6,-10,5,-10,4,-11,1,-11,-2,-11,-2,-12,3,-10,7,-9,11,-5,20,1,18,3,15,2,11,-1,4,-8,4,-9,4,-9,3,-9,4,-9,3,-9,3,-9,3,-9,3,-9,3,-9,3,-9,2,-9,3,-10,3,-10,3,-11,3,-11,3,-11,4,-11,5,-11,4,-11,3,-10,3,-10,2,-10,5,-11,9,-11,-3,-11,86.986,-9.437,92.14,445.98,310.94,6.563,53.759,1146.8,5
0,-11,0,-11,0,-11,1,-11,-2,-11,0,-10,0,-10,0,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-9,-2,-9,-3,-9,-3,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-4,-9,-6,-8,-7,-8,-7,-8,-7,-8,-9,-8,-11,-8,-9,-9,-4,-12,2,-14,3,-13,3,-13,0,-12,-3,-12,-3,-12,-3,-12,-10,-14,-15,-17,-10,-16,-13,-18,-10,-19,-7,-16,-12,-23,-6,-16,-5,-15,-5,-15,-4,-15,-4,-15,-4,-15,-3,-15,-3,-15,-3,-15,-3,-15,-2,-15,-2,-15,-2,-15,-1,-15,-1,-15,0,-15,0,-15,1,-15,0,-14,-1,-14,0,-13,-2,-13,-4,-12,-12,-10,-14,-11,-1,-11,67.75,-6.4329,32.778,588.41,189.52,3.5671,17.426,1007.4,5
2,-13,10,-11,4,-12,2,-12,2,-11,1,-12,2,-11,2,-11,1,-11,0,-13,0,-14,-1,-15,-1,-15,-1,-15,-1,-16,-1,-15,0,-15,0,-15,0,-15,0,-15,1,-15,1,-15,1,-15,1,-15,2,-15,2,-15,2,-15,2,-15,3,-15,3,-15,1,-13,-3,-12,-7,-10,-7,-12,-6,-12,-1,-12,3,-12,4,-12,4,-12,9,-10,16,-5,-7,-17,-7,-18,-8,-19,-8,-21,1,-11,1,-11,1,-11,1,-11,1,-11,0,-11,1,-11,0,-11,0,-11,0,-11,-1,-10,-2,-7,-1,-9,-2,-8,-4,-7,-4,-7,-5,-8,-5,-8,-6,-8,-6,-10,-4,-10,-2,-12,0,-13,1,-13,1,-13,3,-13,2,-13,51.587,-8.551,61.311,546.3,34.113,5.449,82.855,878.47,5
-4,-12,-2,-12,-5,-13,-5,-13,-4,-14,-3,-13,-2,-13,-3,-14,-3,-15,-3,-15,-3,-15,0,-11,-1,-13,0,-10,0,-10,0,-11,-1,-11,-1,-11,0,-11,0,-11,-1,-11,-1,-11,-1,-11,-1,-11,-1,-11,-1,-11,-1,-11,-1,-12,1,-13,2,-13,4,-14,9,-15,7,-14,6,-13,0,-12,-6,-12,-7,-13,-8,-13,-8,-13,-6,-14,-8,-16,8,-7,18,1,17,3,12,1,2,-9,2,-9,1,-9,1,-9,0,-9,0,-9,0,-9,0,-9,-1,-9,-1,-9,0,-10,0,-13,-1,-11,-1,-12,0,-12,-1,-11,-1,-10,-2,-10,-3,-10,-2,-10,-2,-11,-2,-11,-2,-11,-3,-11,4,-12,-1,-12,-3,-12,92.849,-7.8868,53.924,319.19,337.19,8.1132,112.85,1032.9,5
1,-12,-9,-13,-2,-12,1,-11,1,-12,0,-12,0,-12,2,-10,4,-8,5,-7,4,-6,2,-9,3,-7,2,-10,1,-10,1,-10,1,-10,1,-10,0,-10,0,-10,1,-10,0,-10,0,-10,0,-10,-1,-10,-1,-10,-1,-10,-2,-9,-4,-8,-5,-8,-5,-9,-6,-9,-1,-11,2,-12,6,-12,10,-12,10,-10,10,-10,10,-9,4,-10,-6,-15,-9,-17,-16,-23,-7,-18,-5,-17,-3,-16,-2,-16,-2,-16,-1,-16,-1,-16,0,-16,0,-16,0,-16,1,-16,2,-16,1,-16,2,-16,3,-16,3,-16,4,-17,5,-18,6,-18,7,-18,7,-17,5,-15,5,-14,1,-12,-1,-11,2,-12,0,-12,-2,-11,0,-12,41.533,-6.3291,30.646,733.06,158.62,3.6709,19.021,1083.3,5
0,-13,7,-13,4,-13,1,-14,1,-12,0,-14,-2,-15,-4,-16,-5,-18,-5,-18,-2,-17,-2,-17,-2,-17,-2,-17,-1,-17,-2,-17,-1,-17,-1,-17,0,-17,0,-17,0,-17,0,-17,0,-17,0,-17,2,-17,2,-17,3,-17,4,-18,4,-17,3,-17,1,-14,-3,-13,-7,-13,-8,-12,-7,-14,-6,-14,-5,-15,-4,-14,0,-14,2,-13,13,-7,13,-6,-2,-15,-10,-22,-7,-21,1,-12,0,-12,0,-12,0,-12,0,-12,0,-12,-1,-11,0,-9,-1,-9,-2,-9,-1,-9,-2,-9,-3,-9,-3,-9,-4,-10,-3,-10,-4,-10,-5,-10,-4,-11,-1,-13,0,-14,3,-16,3,-15,-1,-14,-5,-13,0,-14,0,-14,112.14,-9.32,89.35,480.75,40.882,8.68,72.744,1027.9,5
-3,-11,-10,-12,-7,-12,-6,-13,-6,-14,-3,-12,-2,-12,-2,-13,-2,-12,-2,-13,-3,-13,-2,-12,-2,-12,-1,-12,-1,-12,0,-12,0,-12,-1,-12,-1,-12,-1,-12,-1,-12,0,-12,0,-12,1,-12,0,-12,0,-12,1,-13,1,-12,2,-13,5,-13,8,-15,9,-14,8,-13,4,-12,1,-10,0,-10,-1,-10,-12,-13,-20,-16,-9,-14,-3,-12,-4,-12,12,-2,11,-1,14,4,4,-6,-1,-12,-2,-14,-2,-14,-2,-14,-2,-14,-1,-15,-1,-17,-1,-17,0,-17,0,-17,-1,-10,0,-12,1,-14,-1,-9,-2,-9,-2,-9,-2,-9,-3,-9,-5,-8,-8,-7,-13,-5,-12,-6,-8,-9,0,-11,5,-11,-1,-10,144.02,-10.489,121,507.45,441.37,2.5106,99.144,1055.2,5
2,-14,3,-14,4,-13,4,-12,4,-12,3,-12,3,-12,3,-11,3,-11,2,-11,1,-12,0,-14,0,-14,0,-13,0,-12,0,-11,0,-11,0,-10,0,-10,-1,-10,-1,-10,-1,-10,-2,-10,-3,-10,-3,-10,-3,-10,-5,-9,-6,-9,-7,-9,-9,-9,-10,-10,-9,-11,-3,-13,3,-14,6,-15,6,-14,6,-14,12,-12,13,-11,6,-12,-12,-19,-5,-17,-10,-21,-4,-17,-16,-30,-6,-20,-1,-14,1,-12,0,-12,1,-12,0,-12,0,-12,0,-12,0,-12,0,-12,-1,-12,1,-19,1,-17,0,-15,3,-19,3,-19,-5,-8,-4,-10,2,-15,4,-17,7,-18,11,-19,11,-18,8,-16,0,-14,-8,-14,0,-14,77.096,-6.5738,38.794,826.38,26.832,4.4262,189.17,1041,5
1,-15,11,-13,3,-14,2,-15,3,-14,2,-15,1,-14,2,-14,2,-14,2,-14,3,-14,3,-13,3,-13,2,-14,1,-15,1,-16,1,-16,2,-17,2,-17,3,-17,2,-17,2,-17,3,-17,3,-17,3,-17,4,-17,4,-17,6,-18,6,-18,5,-17,2,-15,1,-14,-4,-13,-6,-13,-6,-14,-4,-15,-3,-15,1,-15,6,-13,7,-12,13,-9,1,-15,-1,-16,-6,-21,3,-13,2,-14,2,-14,2,-14,2,-14,2,-14,2,-14,2,-14,1,-14,2,-14,2,-14,2,-14,2,-14,1,-14,2,-14,1,-14,2,-14,10,-25,10,-23,5,-18,4,-16,1,-14,1,-15,2,-15,0,-14,-1,-14,2,-14,1,-15,71.657,-9.1622,73.019,531.86,42.625,4.8378,29.182,1084.5,5
-3,-11,-12,-13,-4,-13,-5,-12,-5,-13,-4,-13,-2,-13,-1,-13,-1,-13,-1,-13,-1,-12,0,-12,0,-12,0,-12,1,-12,1,-12,1,-12,0,-12,0,-12,0,-12,1,-12,1,-12,1,-12,1,-12,1,-12,1,-13,2,-13,1,-12,1,-12,2,-12,5,-13,8,-15,7,-13,5,-13,0,-11,-2,-11,-3,-11,-3,-12,-5,-13,-6,-14,-10,-17,-3,-14,5,-8,20,5,16,4,5,-7,6,-4,2,-10,0,-13,0,-13,0,-13,0,-13,1,-13,0,-13,0,-13,1,-13,1,-13,1,-13,1,-13,2,-13,1,-13,2,-13,2,-13,3,-13,3,-13,5,-14,6,-13,5,-13,7,-13,9,-13,1,-11,-2,-11,97.931,-9.6777,101.95,425.34,488.58,3.3223,14.605,1252,5
