-3,-6,-4,-6,-8,-8,-5,-7,-4,-8,-6,-8,-6,-8,-5,-9,-4,-9,-5,-10,-4,-10,-3,-10,-3,-9,-3,-9,-3,-9,-2,-8,-2,-8,-2,-8,-1,-7,-1,-6,-1,-6,-1,-6,-1,-5,-2,-5,-2,-5,-3,-4,-3,-4,-5,-3,-7,-1,-9,-1,-9,-2,-3,-5,-3,-5,4,-7,4,-6,4,-6,4,-5,5,-4,5,-4,3,-4,0,-5,0,-5,-4,-8,7,1,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-7,-2,-8,-2,-9,-2,-9,-2,-8,-2,-7,-2,-6,-2,-4,-3,-3,-3,-3,-3,-3,-2,-4,-2,-5,-3,-4,-3,-4,-2,-6,0,-7,6,-9,4,-8,-1,-6,0,-6,3,-6,4,-6,166.32,-14.687,81.844,654.29,122,11.313,166.48,646.49,6
-4,-9,-3,-9,0,-8,-1,-9,-2,-8,-1,-9,1,-8,1,-7,0,-7,1,-6,0,-6,-1,-7,0,-7,-1,-7,-1,-7,-2,-7,-1,-7,-1,-6,-2,-6,-2,-6,-3,-7,-3,-7,-3,-7,-3,-7,-3,-7,-3,-8,-2,-8,-3,-8,-4,-8,-4,-8,-4,-8,-4,-9,0,-10,2,-9,2,-10,2,-9,3,-8,1,-9,1,-8,1,-8,-1,-9,-2,-9,-2,-9,-10,-16,-3,-10,-3,-10,-3,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-10,-1,-10,-1,-11,-1,-11,-1,-10,-1,-11,0,-12,0,-12,1,-13,0,-12,0,-11,1,-11,1,-11,-1,-9,-3,-8,-5,-8,-2,-9,0,-9,-3,-9,-4,-9,-11,-9,126.33,-11.814,76.579,855.34,94.579,9.1858,105.3,1208.1,6
2,-10,4,-10,8,-8,4,-9,5,-9,7,-7,5,-7,4,-8,3,-8,3,-8,3,-8,3,-7,2,-7,2,-8,2,-8,2,-8,1,-8,1,-9,1,-10,1,-11,2,-11,2,-11,2,-12,2,-12,2,-12,3,-12,3,-12,4,-12,4,-12,8,-14,9,-14,6,-12,3,-10,1,-10,1,-10,3,-10,0,-11,0,-10,0,-11,-8,-14,-5,-12,-12,-18,-5,-14,-3,-14,0,-11,2,-10,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,1,-9,1,-9,1,-9,1,-10,1,-10,1,-10,0,-9,0,-8,-1,-8,0,-8,-4,-5,-4,-6,-3,-7,-1,-9,-1,-9,-1,-9,0,-10,-3,-9,-4,-10,1,-10,87.103,-10.67,113.88,971.33,74.911,10.33,235.49,1214,6
4,-8,7,-7,4,-8,3,-8,3,-8,2,-8,1,-9,2,-8,2,-8,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,2,-9,3,-9,3,-9,3,-9,3,-9,6,-12,12,-16,14,-16,10,-12,2,-8,0,-7,-1,-7,-1,-8,-1,-8,-3,-8,-1,-8,0,-9,0,-8,8,-6,5,-7,10,-3,9,-4,7,-4,5,-5,4,-6,3,-7,3,-7,2,-7,2,-7,2,-7,2,-7,2,-7,2,-7,2,-8,2,-7,2,-7,2,-7,2,-8,2,-8,-1,-3,1,-7,3,-9,2,-8,1,-7,-2,-5,-1,-7,-4,-6,-5,-6,1,-8,3,-8,4,-8,93.568,-11.721,205.34,667.73,128.66,11.279,214.88,1100.1,6
-1,-8,-6,-9,-9,-10,-3,-9,-4,-9,-5,-11,-4,-10,-5,-11,-4,-11,-3,-10,-3,-10,-2,-10,-2,-10,-1,-9,-1,-9,-1,-10,-1,-10,-1,-10,-1,-10,0,-10,-1,-9,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-4,-5,-10,-1,-11,-1,-9,-4,0,-8,2,-9,2,-9,0,-8,-4,-7,-4,-8,-4,-8,-4,-8,-4,-9,-4,-9,2,-7,5,-5,8,-1,6,-2,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-8,-1,-9,-1,-10,-1,-10,-1,-10,1,-10,1,-11,5,-16,2,-12,4,-13,5,-13,6,-13,7,-13,0,-8,0,-9,1,-8,1,-8,1,-8,0,-8,160.81,-13.662,128.21,521.43,128.56,11.338,93.433,1035.3,6
-5,-8,-5,-8,-4,-8,-5,-8,-5,-9,-5,-8,-4,-9,-2,-8,-2,-8,-3,-9,-3,-9,-3,-9,-2,-9,-3,-9,-3,-10,-2,-9,-2,-8,-1,-7,-1,-6,-2,-5,-1,-6,-1,-6,-3,-6,-2,-6,-2,-6,-3,-6,-3,-6,-3,-6,-4,-6,-7,-4,-9,-4,-7,-5,-3,-7,1,-8,6,-8,5,-8,4,-7,4,-7,3,-6,3,-6,-1,-7,-8,-11,-12,-15,5,-1,5,-1,-4,-10,-3,-10,-3,-10,-2,-10,-2,-10,-2,-10,-2,-10,-2,-9,-1,-6,-2,-4,-2,-4,-1,-6,-1,-7,-2,-7,-3,-6,-3,-6,-2,-7,-2,-7,-2,-7,-1,-8,0,-8,4,-10,3,-8,1,-8,0,-8,-1,-7,-2,-8,171.25,-13.263,97.944,864.54,320.69,12.737,101.53,1061.7,6
-2,-9,-1,-9,4,-8,0,-9,1,-8,1,-8,1,-7,-1,-8,-1,-8,-1,-7,-1,-7,-1,-8,-2,-8,-2,-8,-2,-7,-3,-7,-2,-8,-3,-9,-3,-10,-3,-10,-3,-9,-4,-10,-3,-9,-4,-9,-3,-9,-3,-9,-4,-9,-4,-9,-3,-9,-2,-10,0,-11,2,-11,1,-11,-1,-10,-1,-10,0,-9,1,-9,1,-9,-5,-10,-6,-11,-18,-17,5,-5,-10,-15,-23,-27,-13,-20,-3,-10,-2,-8,-2,-8,-2,-7,-2,-7,-2,-7,-2,-6,-2,-6,-3,-8,-3,-9,-3,-9,-4,-7,-4,-7,-5,-7,-4,-7,-5,-7,-5,-6,-7,-6,-7,-6,-8,-6,-8,-7,-6,-8,-3,-10,-1,-11,-2,-10,-3,-10,-5,-9,124.86,-12.621,77.017,1044.4,60.764,14.379,200.61,1203.5,6
4,-10,9,-9,6,-9,5,-8,5,-9,5,-8,5,-9,5,-8,5,-8,4,-8,4,-8,3,-8,4,-8,4,-8,4,-9,4,-9,3,-9,3,-9,3,-9,3,-10,3,-11,4,-11,4,-12,5,-12,4,-12,5,-12,6,-12,7,-13,12,-17,16,-18,13,-15,8,-12,0,-9,0,-9,-1,-10,-1,-10,-1,-11,1,-10,7,-9,6,-8,10,-6,-9,-17,8,-6,7,-7,5,-8,3,-9,2,-11,2,-11,2,-12,2,-12,2,-11,3,-11,3,-12,3,-13,4,-12,4,-12,3,-10,2,-7,2,-7,1,-7,1,-6,-1,-6,1,-7,1,-9,3,-9,3,-10,3,-10,-2,-8,-6,-7,-6,-8,-4,-9,2,-10,84.377,-11.797,139.19,800.52,95.447,11.203,262.88,1275.2,6
2,-8,-4,-9,-2,-9,0,-9,0,-9,0,-10,0,-10,0,-10,0,-10,1,-10,2,-10,2,-9,1,-10,1,-10,1,-9,2,-10,2,-9,2,-9,2,-9,2,-9,2,-9,3,-9,3,-9,2,-9,3,-9,4,-10,6,-12,9,-14,6,-10,3,-8,-1,-6,-3,-6,2,-8,2,-8,1,-7,1,-8,1,-8,-1,-8,0,-9,3,-8,8,-6,10,-3,12,-1,8,-2,6,-4,6,-4,5,-4,4,-4,4,-4,4,-4,3,-5,2,-6,2,-6,2,-6,2,-7,2,-7,2,-9,3,-11,3,-10,3,-8,2,-8,3,-9,2,-8,1,-6,-2,-6,-1,-6,-2,-6,1,-7,7,-9,4,-8,4,-8,4,-8,131.12,-12.978,241.22,731.04,182.99,13.022,270.82,1153.5,6
-1,-8,-2,-8,-6,-9,-3,-9,-4,-9,-4,-10,-5,-10,-4,-10,-4,-11,-3,-11,-3,-11,-2,-11,-2,-11,-2,-11,-1,-11,-1,-10,-1,-12,-1,-11,0,-10,0,-9,0,-8,-1,-8,-1,-7,0,-7,-1,-6,-3,-5,-5,-3,-9,0,-11,0,-11,-2,-4,-6,0,-8,-1,-7,-2,-7,-1,-8,-1,-8,-1,-7,-1,-8,-1,-7,-1,-8,2,-6,3,-6,5,-4,5,-4,3,-4,-1,-8,-1,-8,0,-8,-1,-8,-1,-8,0,-8,0,-8,0,-8,-1,-8,-1,-8,-1,-8,0,-9,0,-9,1,-10,2,-12,3,-13,4,-12,5,-13,6,-13,6,-12,4,-10,3,-9,1,-9,1,-8,6,-9,6,-8,3,-8,222.99,-16.203,122.24,705.05,290.85,12.797,119.59,926.18,6
